Name,Position,Team,OVR,AttackingContribution,DefensiveContribution,BalanceGap
Rodri,Defensive Midfielder,Manchester City,90,78.75,85.5,6.75
Jude Bellingham,Attacking Midfielder,Real Madrid,90,84.75,81.5,3.25
Erling Haaland,Striker,Manchester City,90,81.75,66.5,15.25
Virgil van Dijk,Center Back,Liverpool,90,69.25,88.5,19.25
Raphinha,Left Midfielder,FC Barcelona,89,86.75,64.0,22.75
Achraf Hakimi,Right Back,Paris SG,89,84.0,80.5,3.5
Vitinha,Central Midfielder,Paris SG,89,82.0,72.5,9.5
Pedri,Central Midfielder,FC Barcelona,89,81.5,77.5,4.0
Joshua Kimmich,Defensive Midfielder,FC Bayern München,89,79.75,81.0,1.25
Harry Kane,Striker,FC Bayern München,89,80.25,65.0,15.25
Federico Valverde,Central Midfielder,Real Madrid,89,85.0,84.0,1.0
Jamal Musiala,Attacking Midfielder,FC Bayern München,88,83.0,65.5,17.5
Bukayo Saka,Right Winger,Arsenal,88,84.75,66.5,18.25
Robert Lewandowski,Striker,FC Barcelona,88,81.75,64.0,17.75
Lautaro Martínez,Striker,Lombardia FC,88,82.0,67.0,15.0
Bruno Fernandes,Attacking Midfielder,Man Utd,87,80.5,70.0,10.5
Victor Osimhen,Striker,Galatasaray,87,80.5,63.0,17.5
Nicolò Barella,Central Midfielder,Lombardia FC,87,82.0,78.5,3.5
Viktor Gyökeres,Striker,Arsenal,87,82.5,63.5,19.0
Martin Ødegaard,Central Midfielder,Arsenal,87,80.5,66.0,14.5
Alexis Mac Allister,Central Midfielder,Liverpool,87,79.5,77.0,2.5
Julián Alvarez,Striker,Atlético de Madrid,87,85.0,68.0,17.0
William Saliba,Center Back,Arsenal,87,64.0,85.0,21.0
Serhou Guirassy,Striker,Borussia Dortmund,87,79.75,64.0,15.75
Jules Koundé,Right Back,FC Barcelona,87,71.0,85.0,14.0
