Formation,Lineup Status,Formation Slot,Assigned Role,Name,Official Position,Role Source,OVR,Position Fit Score,Role Attribute Score,Selection Score
4-2-3-1,Starter,CB1,Center Back,Virgil van Dijk,Center Back,Official Position,90,100.0,89.55,92.32
4-2-3-1,Starter,CB2,Center Back,Gabriel,Center Back,Official Position,88,100.0,87.9,90.96
4-2-3-1,Starter,FB1,Full Back,Nuno Mendes,Left Back,Official Position,86,100.0,84.41,88.864
4-2-3-1,Starter,FB2,Full Back,Achraf Hakimi,Right Back,Official Position,89,100.0,88.15,91.41
4-2-3-1,Starter,DM1,Defensive Midfielder,Joshua Kimmich,Defensive Midfielder,Official Position,89,100.0,88.35,91.49
4-2-3-1,Starter,DM2,Defensive Midfielder,Rodri,Defensive Midfielder,Official Position,90,100.0,88.9,92.06
4-2-3-1,Starter,AM,Attacking Midfielder,Florian Wirtz,Attacking Midfielder,Official Position,89,100.0,87.8,91.27
4-2-3-1,Starter,W1,Winger,Vini Jr.,Left Winger,Official Position,89,100.0,90.56,92.374
4-2-3-1,Starter,W2,Winger,Bukayo Saka,Right Winger,Official Position,88,100.0,85.72,90.088
4-2-3-1,Starter,ST,Striker,Erling Haaland,Striker,Official Position,90,100.0,91.88,93.252
