Formation,Lineup Status,Formation Slot,Assigned Role,Name,Official Position,Role Source,OVR,Position Fit Score,Role Attribute Score,Selection Score
4-4-2,Starter,CB1,Center Back,Virgil van Dijk,Center Back,Official Position,90,100.0,89.55,92.32
4-4-2,Starter,CB2,Center Back,Gabriel,Center Back,Official Position,88,100.0,87.9,90.96
4-4-2,Starter,FB1,Full Back,Achraf Hakimi,Right Back,Official Position,89,100.0,88.15,91.41
4-4-2,Starter,FB2,Full Back,Nuno Mendes,Left Back,Official Position,86,100.0,84.41,88.864
4-4-2,Starter,CM1,Central Midfielder,Vitinha,Central Midfielder,Official Position,89,100.0,86.76,90.854
4-4-2,Starter,CM2,Central Midfielder,Pedri,Central Midfielder,Official Position,89,100.0,87.17,91.018
4-4-2,Starter,WM1,Wide Midfielder,Mohamed Salah,Right Midfielder,Official Position,91,100.0,88.5,92.25
4-4-2,Starter,WM2,Wide Midfielder,Raphinha,Left Midfielder,Official Position,89,100.0,88.33,91.482
4-4-2,Starter,ST1,Striker,Harry Kane,Striker,Official Position,89,100.0,91.62,92.798
4-4-2,Starter,ST2,Striker,Erling Haaland,Striker,Official Position,90,100.0,91.88,93.252
