Name,Position,Team,OVR,AttackingContribution,DefensiveContribution
Kylian Mbappé,Striker,Real Madrid,91,90.0,56.5
Ousmane Dembélé,Striker,Paris SG,90,88.75,59.5
Mohamed Salah,Right Midfielder,Liverpool,91,88.25,60.5
Vini Jr.,Left Winger,Real Madrid,89,87.75,49.0
Lamine Yamal,Right Midfielder,FC Barcelona,89,85.5,38.0
Florian Wirtz,Attacking Midfielder,Liverpool,89,85.0,60.5
Lionel Messi,Right Winger,Inter Miami CF,86,84.5,48.5
Rafael Leão,Left Winger,Milano FC,84,84.25,51.5
Omar Marmoush,Striker,Manchester City,84,84.0,52.5
Christian Pulisic,Right Winger,Milano FC,84,84.0,55.5
Paulo Dybala,Attacking Midfielder,AS Roma,86,84.0,52.5
Nico Williams,Left Midfielder,Athletic Club,86,84.0,51.0
Rodrygo,Right Winger,Real Madrid,85,83.5,47.5
Moussa Diaby,Right Midfielder,Al Ittihad,84,83.5,49.0
Phil Foden,Right Winger,Manchester City,85,83.25,57.0
Heung Min Son,Left Winger,LAFC,85,83.0,57.5
Cole Palmer,Attacking Midfielder,Chelsea,87,83.0,57.5
Luis Díaz,Left Midfielder,FC Bayern München,85,83.0,60.0
Leroy Sané,Right Midfielder,Galatasaray,82,82.75,52.5
Anthony Gordon,Left Winger,Newcastle Utd,83,82.75,60.5
