Method,Formation,Formation Slot,Name,Player Key,Primary Position,OVR,Accepted Exact Positions,Player Exact Eligible Positions
OVR Baseline,4-2-3-1,GK,Alisson,212831,Goalkeeper,89.0,Goalkeeper,Goalkeeper
OVR Baseline,4-2-3-1,LB,Nuno Mendes,252145,Left Back,86.0,Left Back,Left Back|Left Midfielder
OVR Baseline,4-2-3-1,CB1,Virgil van Dijk,203376,Center Back,90.0,Center Back,Center Back
OVR Baseline,4-2-3-1,CB2,Gabriel,232580,Center Back,88.0,Center Back,Center Back
OVR Baseline,4-2-3-1,RB,Achraf Hakimi,235212,Right Back,89.0,Right Back,Right Back|Right Midfielder
OVR Baseline,4-2-3-1,DM1,Rodri,231866,Defensive Midfielder,90.0,Defensive Midfielder,Central Midfielder|Defensive Midfielder
OVR Baseline,4-2-3-1,DM2,Vitinha,255253,Central Midfielder,89.0,Defensive Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
OVR Baseline,4-2-3-1,AM,Ousmane Dembélé,231443,Striker,90.0,Attacking Midfielder,Attacking Midfielder|Right Winger|Striker
OVR Baseline,4-2-3-1,LW,Kylian Mbappé,231747,Striker,91.0,Left Winger,Left Midfielder|Left Winger|Striker
OVR Baseline,4-2-3-1,RW,Mohamed Salah,209331,Right Midfielder,91.0,Right Winger,Right Midfielder|Right Winger
OVR Baseline,4-2-3-1,ST,Erling Haaland,239085,Striker,90.0,Striker,Striker
