Formation Slot,Assigned Role,Name,Official Position,OVR,Position Fit Score,Role Attribute Score,Selection Score
GK,Goalkeeper,Alisson,Goalkeeper,89.0,100.0,87.2,87.2
CB1,Center Back,Gabriel,Center Back,88.0,100.0,87.9,90.96
CB2,Center Back,Virgil van Dijk,Center Back,90.0,100.0,89.55,92.32
LB,Full Back,Nuno Mendes,Left Back,86.0,100.0,84.41,88.864
RB,Full Back,Achraf Hakimi,Right Back,89.0,100.0,88.15,91.41
DM,Defensive Midfielder,Rodri,Defensive Midfielder,90.0,100.0,88.9,92.06
CM1,Central Midfielder,Kevin De Bruyne,Central Midfielder,87.0,100.0,88.04,90.666
CM2,Central Midfielder,Martin Ødegaard,Central Midfielder,87.0,100.0,87.96,90.634
LW,Winger,Vini Jr.,Left Winger,89.0,100.0,90.56,92.374
RW,Winger,Rodrygo,Right Winger,85.0,100.0,85.86999999999999,89.098
ST,Striker,Erling Haaland,Striker,90.0,100.0,91.88,93.252
